DEBUG scheduling-1 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Result: [7360, 2.900, 3.010, 3.070, 2.880, 2019-02-27]
DEBUG http-nio-8999-exec-9 druid.sql.Connection - {conn-10005} connected
DEBUG http-nio-8999-exec-9 druid.sql.Connection - {conn-10005} pool-connect
DEBUG http-nio-8999-exec-9 druid.sql.Statement - {conn-10005, pstmt-20000} created. select id, subject_id, title, duration, vedio_url, play_count, is_delete, create_time,  modify_time from subject_detail where id = ?
DEBUG http-nio-8999-exec-9 druid.sql.Statement - {conn-10005, pstmt-20000} Parameters : [2]
DEBUG http-nio-8999-exec-9 druid.sql.Statement - {conn-10005, pstmt-20000} Types : [BIGINT]
DEBUG http-nio-8999-exec-9 druid.sql.Statement - {conn-10005, pstmt-20000} executed. 18.62796 millis. select id, subject_id, title, duration, vedio_url, play_count, is_delete, create_time,  modify_time from subject_detail where id = ?
DEBUG http-nio-8999-exec-9 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} open
DEBUG http-nio-8999-exec-9 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Header: [id, subject_id, title, duration, vedio_url, play_count, is_delete, create_time, modify_time]
DEBUG http-nio-8999-exec-9 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} closed
DEBUG http-nio-8999-exec-9 druid.sql.Statement - {conn-10005, pstmt-20000} closed
DEBUG http-nio-8999-exec-9 druid.sql.Connection - {conn-10005} pool-recycle
